"discriminant","a","b","m11","m12","m13","m14","m21","m22","m23","m24","m31","m32","m33","m34","m41","m42","m43","m44","pp","pq","pr","ps","qq","qr","qs","rr","rs","ss"
6,3,-1,1.,0.,0.,0.,0.5,0.5,0.5,0.5,0.5,-0.5,0.5,-0.5,0.5,-0.5,-0.5,0.5,1,1,1,1,-1,4,0,-1,0,-1
10,10,-3,1.,0.,0.,0.,0.5,0.,0.16666666666666666,0.3333333333333333,0.,0.,0.,1.,0.,0.5,0.,0.5,1,1,0,0,-3,-20,-10,-30,-30,-10
14,7,-2,1.,0.,0.,0.,0.5,0.5,0.,0.5,0.5,-0.5,0.,0.5,0.,0.,0.5,0.5,1,1,1,0,-5,-3,-7,-5,-7,-3
15,15,2,1.,0.,0.,0.,0.5,0.,0.25,0.75,0.5,0.,0.25,-0.25,0.,0.5,0.25,0.25,1,1,1,0,17,-11,11,2,-4,-2
21,21,-1,1.,0.,0.,0.,0.5,0.5,0.,0.,0.,0.,0.5,0.5,0.,0.,0.,1.,1,1,0,0,-5,0,0,-5,-21,-21
22,22,-3,1.,0.,0.,0.,0.5,0.,0.16666666666666666,0.3333333333333333,0.,0.,0.,1.,0.,0.5,0.,0.5,1,1,0,0,-7,-44,-22,-66,-66,-22
26,26,-5,1.,0.,0.,0.,0.5,0.,0.1,0.1,0.,0.,0.,1.,0.,0.5,0.,0.5,1,1,0,0,-1,-26,-13,-130,-130,-39
33,33,-1,1.,0.,0.,0.,0.5,0.5,0.,0.,0.,0.,0.5,0.5,0.,0.,0.,1.,1,1,0,0,-8,0,0,-8,-33,-33
34,34,-3,1.,0.,0.,0.,0.5,0.,0.16666666666666666,0.3333333333333333,0.,0.,0.,1.,0.,0.5,0.,0.5,1,1,0,0,-11,-68,-34,-102,-102,-34
35,-2,35,1.,0.,0.,0.,0.5,0.,0.5,0.5,0.5,0.,0.5,-0.5,0.,0.25,0.5,0.25,1,1,1,0,-26,18,-35,-26,0,-13
38,-19,2,1.,0.,0.,0.,0.5,0.5,0.,0.,0.,0.,0.5,0.5,0.,0.,0.,1.,1,1,0,0,5,0,0,-10,-38,-38
39,39,2,1.,0.,0.,0.,0.5,0.,0.25,0.75,0.5,0.,0.25,-0.25,0.,0.5,0.25,0.25,1,1,1,0,44,-29,29,5,-10,-5
46,46,-3,1.,0.,0.,0.,0.5,0.,0.16666666666666666,0.3333333333333333,0.,0.,0.,1.,0.,0.5,0.,0.5,1,1,0,0,-15,-92,-46,-138,-138,-46
51,51,5,1.,0.,0.,0.,0.5,0.,0.1,0.4,0.,0.,0.,1.,0.,0.5,0.,0.5,1,1,0,0,41,204,102,255,255,51
55,55,2,1.,0.,0.,0.,0.5,0.,0.25,0.75,0.5,0.,0.25,-0.25,0.,0.5,0.25,0.25,1,1,1,0,62,-41,41,7,-14,-7
