"discriminant","a","b","m11","m12","m13","m14","m21","m22","m23","m24","m31","m32","m33","m34","m41","m42","m43","m44"
6,3,-1,1,0,0,0,1/2,1/2,1/2,1/2,1/2,-1/2,1/2,-1/2,1/2,-1/2,-1/2,1/2
10,10,-3,1,0,0,0,1/2,0,1/6,1/3,0,0,0,1,0,1/2,0,1/2
14,7,-2,1,0,0,0,1/2,1/2,0,1/2,1/2,-1/2,0,1/2,0,0,1/2,1/2
15,15,2,1,0,0,0,1/2,0,1/4,3/4,1/2,0,1/4,-1/4,0,1/2,1/4,1/4
21,21,-1,1,0,0,0,1/2,1/2,0,0,0,0,1/2,1/2,0,0,0,1
22,22,-3,1,0,0,0,1/2,0,1/6,1/3,0,0,0,1,0,1/2,0,1/2
26,26,-5,1,0,0,0,1/2,0,1/10,1/10,0,0,0,1,0,1/2,0,1/2
33,33,-1,1,0,0,0,1/2,1/2,0,0,0,0,1/2,1/2,0,0,0,1
34,34,-3,1,0,0,0,1/2,0,1/6,1/3,0,0,0,1,0,1/2,0,1/2
35,-2,35,1,0,0,0,1/2,0,1/2,1/2,1/2,0,1/2,-1/2,0,1/4,1/2,1/4
38,-19,2,1,0,0,0,1/2,1/2,0,0,0,0,1/2,1/2,0,0,0,1
39,39,2,1,0,0,0,1/2,0,1/4,3/4,1/2,0,1/4,-1/4,0,1/2,1/4,1/4
46,46,-3,1,0,0,0,1/2,0,1/6,1/3,0,0,0,1,0,1/2,0,1/2
51,51,5,1,0,0,0,1/2,0,1/10,2/5,0,0,0,1,0,1/2,0,1/2
55,55,2,1,0,0,0,1/2,0,1/4,3/4,1/2,0,1/4,-1/4,0,1/2,1/4,1/4
57,57,-1,1,0,0,0,1/2,1/2,0,0,0,0,1/2,1/2,0,0,0,1
58,58,-3,1,0,0,0,1/2,0,1/6,1/3,0,0,0,1,0,1/2,0,1/2
62,31,-2,1,0,0,0,1/2,1/2,0,1/2,1/2,-1/2,0,1/2,0,0,1/2,1/2
65,65,-2,1,0,0,0,1/2,1/2,0,0,0,0,1/4,1/4,0,0,0,1
69,69,-1,1,0,0,0,1/2,1/2,0,0,0,0,1/2,1/2,0,0,0,1
74,74,-5,1,0,0,0,1/2,0,1/10,3/10,0,0,0,1,0,1/2,0,1/2
